"area","trait","completeness"
"IDA","Plant growth form",0.972187629721876
"MNT","Plant growth form",0.976265114196149
"ORE","Plant growth form",0.970687022900763
"WAS","Plant growth form",0.970457304734925
"WYO","Plant growth form",0.981562774363477
"ILL","Plant growth form",0.983021332172399
"MIN","Plant growth form",0.980728051391863
"NDA","Plant growth form",0.982238010657194
"SDA","Plant growth form",0.986082115518441
"WIS","Plant growth form",0.983184445612191
"CNT","Plant growth form",0.981987216734457
"INI","Plant growth form",0.984962406015038
"MAI","Plant growth form",0.974374618669921
"MAS","Plant growth form",0.975027144408252
"MIC","Plant growth form",0.979427997992975
"NWH","Plant growth form",0.979712041884817
"NWJ","Plant growth form",0.979716024340771
"NWY","Plant growth form",0.974519632414369
"OHI","Plant growth form",0.980885311871227
"PEN","Plant growth form",0.97837091578463
"VER","Plant growth form",0.978155339805825
"UTA","Plant growth form",0.969604863221885
"CAL","Plant growth form",0.961228070175439
"CHS","Plant growth form",0.394187183361479
"ALA","Plant growth form",0.982832618025751
"ARK","Plant growth form",0.980220791168353
"GEO","Plant growth form",0.981660553517839
"NCA","Plant growth form",0.976519337016575
"SCA","Plant growth form",0.983505945531262
"TEN","Plant growth form",0.978305362259517
"IRQ","Plant growth form",0.507900677200903
"BZE","Plant growth form",0.648320482141274
"BZC","Plant growth form",0.857581338244322
"NZN","Plant growth form",0.515603799185889
"NZS","Plant growth form",0.416754478398314
"LEE","Plant growth form",0.866312741312741
"GUY","Plant growth form",0.734406438631791
"VEN","Plant growth form",0.634830769230769
"NWG","Plant growth form",0.172452575541726
"VIE","Plant growth form",0.324728736436822
"MYA","Plant growth form",0.371352218065206
"WHM","Plant growth form",0.447540677015149
"NCB","Plant growth form",0.608903020667727
"IND","Plant growth form",0.368899273104881
"PER","Plant growth form",0.631080751402781
"PAN","Plant growth form",0.844462215113954
"ARU","Plant growth form",0.922535211267606
"VNA","Plant growth form",0.902055622732769
"CLM","Plant growth form",0.632384587275163
"CUB","Plant growth form",0.475933202357564
"COS","Plant growth form",0.832672332389046
"ELS","Plant growth form",0.929565464356717
"GUA","Plant growth form",0.813202756619514
"HON","Plant growth form",0.912374981340499
"NIC","Plant growth form",0.943299846756343
"DOM","Plant growth form",0.622521606507372
"HAI","Plant growth form",0.581872133800917
"CHH","Plant growth form",0.48073191017466
"LAO","Plant growth form",0.399078894673608
"THA","Plant growth form",0.32586031921764
"BZS","Plant growth form",0.614310850439883
"AGE","Plant growth form",0.744138060401426
"URU","Plant growth form",0.714787358564183
"CHT","Plant growth form",0.328928672918443
"ASS","Plant growth form",0.39129067756642
"EHM","Plant growth form",0.34727868852459
"NEP","Plant growth form",0.39827192696446
"PHI","Plant growth form",0.275421895283427
"GAL","Plant growth form",0.726050420168067
"ECU","Plant growth form",0.691827719491993
"BAN","Plant growth form",0.51909307875895
"JAW","Plant growth form",0.431970260223048
"LSI","Plant growth form",0.525523560209424
"ALG","Plant growth form",0.642064372918979
"TAI","Plant growth form",0.451406357191859
"EAI","Plant growth form",0.681948424068768
"IRN","Plant growth form",0.341478464766136
"LBS","Plant growth form",0.571391884951207
"PAR","Plant growth form",0.813498777965783
"KGZ","Plant growth form",0.38394460117979
"POR","Plant growth form",0.742492492492492
"BZN","Plant growth form",0.716462728023422
"ARI","Plant growth form",0.968672026614915
"MOL","Plant growth form",0.402866727660872
"PUE","Plant growth form",0.966457023060797
"ERI","Plant growth form",0.704989154013015
"ETH","Plant growth form",0.581723338485317
"SOM","Plant growth form",0.464456487089576
"SUD","Plant growth form",0.734623015873016
"SAU","Plant growth form",0.66023166023166
"YEM","Plant growth form",0.60560657322378
"IOW","Plant growth form",0.984197218710493
"KAN","Plant growth form",0.985014409221902
"MSO","Plant growth form",0.98109640831758
"NEB","Plant growth form",0.987594762232943
"OKL","Plant growth form",0.983326020184291
"NEV","Plant growth form",0.976299964626813
"NWM","Plant growth form",0.968849149120277
"TEX","Plant growth form",0.965126050420168
"MXC","Plant growth form",0.720375335120643
"MXG","Plant growth form",0.807270408163265
"MXN","Plant growth form",0.775584795321637
"AGS","Plant growth form",0.475167144221585
"CLC","Plant growth form",0.469807564698076
"CLN","Plant growth form",0.514269406392694
"MXI","Plant growth form",0.781609195402299
"CHN","Plant growth form",0.520999275887038
"KOR","Plant growth form",0.581482639974977
"NSW","Plant growth form",0.673344651952462
"NTA","Plant growth form",0.475564376085339
"QLD","Plant growth form",0.529684261855419
"SOA","Plant growth form",0.604607131587252
"VIC","Plant growth form",0.66998191681736
"MXT","Plant growth form",0.8290431193657
"CLS","Plant growth form",0.531930333817126
"PAK","Plant growth form",0.497144112478032
"CPP","Plant growth form",0.288625440563922
"OFS","Plant growth form",0.56058282208589
"NAT","Plant growth form",0.5622283682339
"LES","Plant growth form",0.539305301645338
"TVL","Plant growth form",0.602780909432544
"SWZ","Plant growth form",0.697293175752955
"PEI","Plant growth form",0.982954545454545
"RHO","Plant growth form",0.985649546827795
"WVA","Plant growth form",0.98536036036036
"VRG","Plant growth form",0.978444957659738
"SRL","Plant growth form",0.457223796033994
"SUL","Plant growth form",0.371907937190794
"CRL","Plant growth form",0.467695274831244
"JAM","Plant growth form",0.692157500813537
"WAU","Plant growth form",0.318138103481439
"MDG","Plant growth form",0.210028878970859
"BUL","Plant growth form",0.716942675159236
"AND","Plant growth form",0.564159292035398
"CBD","Plant growth form",0.449538934426229
"YAK","Plant growth form",0.698101265822785
"ZAI","Plant growth form",0.53543807606738
"TAN","Plant growth form",0.592310071126688
"MOZ","Plant growth form",0.796840148698885
"MLW","Plant growth form",0.824327187963552
"ZAM","Plant growth form",0.785158781594297
"KEN","Plant growth form",0.601129766201161
"ZIM","Plant growth form",0.798100664767331
"BOT","Plant growth form",0.781199351701783
"BEN","Plant growth form",0.76962899050906
"BKN","Plant growth form",0.82567264573991
"GHA","Plant growth form",0.668256997455471
"GUI","Plant growth form",0.653346653346653
"IVO","Plant growth form",0.608326703792098
"LBR","Plant growth form",0.544852941176471
"MLI","Plant growth form",0.804746494066882
"MTN","Plant growth form",0.824925816023739
"NGR","Plant growth form",0.854613233923579
"NGA","Plant growth form",0.617850408548083
"SEN","Plant growth form",0.783166904422254
"TOG","Plant growth form",0.770977295162882
"BUR","Plant growth form",0.742131616595136
"CMN","Plant growth form",0.484209035547373
"CAF","Plant growth form",0.652114967462039
"CON","Plant growth form",0.54710785551907
"GAB","Plant growth form",0.433920704845815
"GGI","Plant growth form",0.567946058091286
"DJI","Plant growth form",0.701664532650448
"SOC","Plant growth form",0.487244897959184
"UGA","Plant growth form",0.6751269035533
"ANG","Plant growth form",0.607269789983845
"EQG","Plant growth form",0.498950314905528
"NAM","Plant growth form",0.600947617794156
"UZB","Plant growth form",0.353598691384951
"BAH","Plant growth form",0.833333333333333
"CAY","Plant growth form",0.889891696750903
"NLA","Plant growth form",0.913223140495868
"TRT","Plant growth form",0.859533073929961
"TCI","Plant growth form",0.856079404466501
"WIN","Plant growth form",0.832590391282813
"TZK","Plant growth form",0.346863468634686
"NWC","Plant growth form",0.169188861985472
"TKM","Plant growth form",0.461885092001502
"CNY","Plant growth form",0.64004914004914
"AFG","Plant growth form",0.379721669980119
"AZO","Plant growth form",0.850553505535055
"CYP","Plant growth form",0.746487477092242
"BLZ","Plant growth form",0.925772626931567
"FRG","Plant growth form",0.774826560951437
"SUR","Plant growth form",0.807152259763054
"KAZ","Plant growth form",0.439954682779456
"RWA","Plant growth form",0.71586861891571
"CHQ","Plant growth form",0.484972677595628
"CAB","Plant growth form",0.509129967776584
"COM","Plant growth form",0.556061987237922
"FIJ","Plant growth form",0.286549707602339
"MOR","Plant growth form",0.587327954437589
"VAN","Plant growth form",0.348484848484849
"GAM","Plant growth form",0.896379525593009
"GNB","Plant growth form",0.805907172995781
"SIE","Plant growth form",0.628904779826872
"CHA","Plant growth form",0.782224290367613
"CPV","Plant growth form",0.865
"SIC","Plant growth form",0.732036522429536
"BAL","Plant growth form",0.779361846571623
"SAR","Plant growth form",0.752672497570457
"TUN","Plant growth form",0.700666111573689
"KRI","Plant growth form",0.694244604316547
"ALB","Plant growth form",0.745851528384279
"TUE","Plant growth form",0.807779285391226
"KRY","Plant growth form",0.750223015165031
"RUS","Plant growth form",0.767365967365967
"LBY","Plant growth form",0.706010928961749
"PAL","Plant growth form",0.664257318395374
"OMA","Plant growth form",0.62929061784897
"WSA","Plant growth form",0.771794871794872
"FLA","Plant growth form",0.969211032713278
"KTY","Plant growth form",0.987136731777037
"LOU","Plant growth form",0.980952380952381
"MRY","Plant growth form",0.981150793650794
"MSI","Plant growth form",0.98240211174659
"DEL","Plant growth form",0.983509234828496
"WDC","Plant growth form",0.988785046728972
"NFK","Plant growth form",0.606741573033708
"OGA","Plant growth form",0.579710144927536
"SWC","Plant growth form",0.958174904942966
"RUW","Plant growth form",0.857980456026059
"CPI","Plant growth form",0.808612440191388
"EGY","Plant growth form",0.736777367773678
"SIN","Plant growth form",0.700159489633174
"KUW","Plant growth form",0.787878787878788
"MDR","Plant growth form",0.817042606516291
"SEL","Plant growth form",0.826086956521739
"CVI","Plant growth form",0.85
"NNS","Plant growth form",0.552524666279745
"HAW","Plant growth form",0.944124897288414
"MAU","Plant growth form",0.49736564805058
"SCS","Plant growth form",0.894230769230769
"SCZ","Plant growth form",0.461224489795918
"TAS","Plant growth form",0.615938018815717
"ATP","Plant growth form",0.578947368421053
"MAQ","Plant growth form",0.795918367346939
"MRN","Plant growth form",0.744136460554371
"KER","Plant growth form",0.7109375
"SEY","Plant growth form",0.679611650485437
"REU","Plant growth form",0.453798767967146
"ROD","Plant growth form",0.691099476439791
"MCI","Plant growth form",0.871428571428571
"GST","Plant growth form",0.735457063711911
"LDV","Plant growth form",0.835164835164835
"XMS","Plant growth form",0.7981220657277
"SVA","Plant growth form",0.88265306122449
"WAK","Plant growth form",0.909090909090909
"ALD","Plant growth form",0.878787878787879
"CGS","Plant growth form",0.942307692307692
"MDV","Plant growth form",0.893081761006289
"CKI","Plant growth form",0.946666666666667
"GIL","Plant growth form",0.91578947368421
"NRU","Plant growth form",0.912280701754386
"NUE","Plant growth form",0.607305936073059
"PHX","Plant growth form",0.931034482758621
"SAM","Plant growth form",0.354122621564482
"TOK","Plant growth form",0.852459016393443
"TON","Plant growth form",0.55278310940499
"TUV","Plant growth form",0.903846153846154
"WAL","Plant growth form",0.609120521172638
"COO","Plant growth form",0.606164383561644
"LIN","Plant growth form",0.9
"PIT","Plant growth form",0.686440677966102
"SCI","Plant growth form",0.431147540983607
"TUA","Plant growth form",0.731543624161074
"TUB","Plant growth form",0.546916890080429
"MCS","Plant growth form",1
"MRS","Plant growth form",0.902439024390244
"DSV","Plant growth form",0.571428571428571
"CTM","Plant growth form",0.629943502824859
"JNF","Plant growth form",0.464435146443515
"EAS","Plant growth form",0.75
"MRQ","Plant growth form",0.408839779005525
"FAL","Plant growth form",0.622950819672131
"KZN","Plant growth form",0.648936170212766
"STH","Plant growth form",0.536585365853659
"BER","Plant growth form",0.948979591836735
"TDC","Plant growth form",0.530612244897959
"HMD","Plant growth form",0.727272727272727
"KEG","Plant growth form",0.78125
"MPE","Plant growth form",0.666666666666667
"CRZ","Plant growth form",0.863636363636364
"SGE","Plant growth form",0.869565217391304
"ASC","Plant growth form",0.838709677419355
"ASP","Plant growth form",0.566666666666667
"SSA","Plant growth form",1
"HBI","Plant growth form",1
"ANT","Plant growth form",1
"BOL","Plant growth rate",0.0193478554999323
"AGW","Plant growth rate",0.0293019783501306
"BZL","Plant growth rate",0.00887311446317657
"MLY","Plant growth rate",0.00691139814185361
"SUM","Plant growth rate",0.00658779241731648
"BIS","Plant growth rate",0.0121065375302663
"SOL","Plant growth rate",0.0124888492417484
"BOR","Plant growth rate",0.00374213301581902
"MXE","Plant growth rate",0.0530641415043773
"MXS","Plant growth rate",0.0302097501610709
"DEN","Plant growth rate",0.301331853496115
"FIN","Plant growth rate",0.22311942201445
"FOR","Plant growth rate",0.43854748603352
"GRB","Plant growth rate",0.212171599600931
"ICE","Plant growth rate",0.270992366412214
"IRE","Plant growth rate",0.309078309078309
"NOR","Plant growth rate",0.286611889801837
"SWE","Plant growth rate",0.180204410973642
"AUT","Plant growth rate",0.300342195314556
"BGM","Plant growth rate",0.350127226463104
"CZE","Plant growth rate",0.274331403363661
"GER","Plant growth rate",0.254584424863063
"HUN","Plant growth rate",0.336223886480095
"NET","Plant growth rate",0.332972972972973
"POL","Plant growth rate",0.310608695652174
"SWI","Plant growth rate",0.338791306936588
"COR","Plant growth rate",0.37586048646168
"FRA","Plant growth rate",0.249169435215947
"SPA","Plant growth rate",0.219844357976654
"GRC","Plant growth rate",0.23182933736077
"ITA","Plant growth rate",0.274460612142499
"ROM","Plant growth rate",0.305414551607445
"YUG","Plant growth rate",0.267639453269302
"BLT","Plant growth rate",0.366359447004608
"BLR","Plant growth rate",0.432724814063556
"RUC","Plant growth rate",0.332200097134531
"RUE","Plant growth rate",0.283070866141732
"RUN","Plant growth rate",0.297939778129952
"UKR","Plant growth rate",0.295580110497238
"ALT","Plant growth rate",0.214504988488104
"BRY","Plant growth rate",0.215035931453842
"CTA","Plant growth rate",0.211249182472204
"IRK","Plant growth rate",0.237955346650999
"KRA","Plant growth rate",0.22778297474275
"TVA","Plant growth rate",0.19917501473188
"WSB","Plant growth rate",0.264510412051396
"AMU","Plant growth rate",0.22585128561501
"KAM","Plant growth rate",0.263572679509632
"KHA","Plant growth rate",0.215475550779151
"KUR","Plant growth rate",0.223300970873786
"MAG","Plant growth rate",0.2424
"PRM","Plant growth rate",0.190380761523046
"SAK","Plant growth rate",0.240829346092504
"NCS","Plant growth rate",0.220810942843185
"TCS","Plant growth rate",0.16770851937846
"TUR","Plant growth rate",0.119279895403802
"CHC","Plant growth rate",0.0208343817623673
"CHI","Plant growth rate",0.158531124048365
"CHM","Plant growth rate",0.172983870967742
"CHX","Plant growth rate",0.130938586326767
"MON","Plant growth rate",0.14164689935615
"JAP","Plant growth rate",0.0772564537403429
"ASK","Plant growth rate",0.295292439372325
"ALU","Plant growth rate",0.305405405405405
"GNL","Plant growth rate",0.344168260038241
"NWT","Plant growth rate",0.345559845559846
"NUN","Plant growth rate",0.346278317152104
"YUK","Plant growth rate",0.315315315315315
"ABT","Plant growth rate",0.352905198776758
"BRC","Plant growth rate",0.312419424151268
"MAN","Plant growth rate",0.37546468401487
"SAS","Plant growth rate",0.369820172009382
"LAB","Plant growth rate",0.350344827586207
"NBR","Plant growth rate",0.362267493356953
"NFL","Plant growth rate",0.348258706467662
"NSC","Plant growth rate",0.359389038634322
"ONT","Plant growth rate",0.322845417236662
"QUE","Plant growth rate",0.320552147239264
"COL","Plant growth rate",0.270221254987305
"IDA","Plant growth rate",0.292237442922374
"MNT","Plant growth rate",0.32154052843708
"ORE","Plant growth rate",0.246412213740458
"WAS","Plant growth rate",0.296641036017807
"WYO","Plant growth rate",0.308165057067603
"ILL","Plant growth rate",0.313452329124946
"MIN","Plant growth rate",0.336723768736617
"NDA","Plant growth rate",0.398756660746004
"SDA","Plant growth rate",0.386221294363257
"WIS","Plant growth rate",0.32790331056227
"CNT","Plant growth rate",0.342823939570017
"INI","Plant growth rate",0.328320802005013
"MAI","Plant growth rate",0.356314826113484
"MAS","Plant growth rate",0.332790445168295
"MIC","Plant growth rate",0.331660812844957
"NWH","Plant growth rate",0.361256544502618
"NWJ","Plant growth rate",0.322008113590264
"NWY","Plant growth rate",0.307017543859649
"OHI","Plant growth rate",0.325955734406439
"PEN","Plant growth rate",0.319834330418776
"VER","Plant growth rate",0.338592233009709
"UTA","Plant growth rate",0.240459304289092
"CAL","Plant growth rate",0.15280701754386
"CHS","Plant growth rate",0.0312861079015199
"ALA","Plant growth rate",0.22152525586002
"ARK","Plant growth rate",0.268629254829807
"GEO","Plant growth rate",0.217739246415472
"NCA","Plant growth rate",0.24274861878453
"SCA","Plant growth rate",0.242807825086306
"TEN","Plant growth rate",0.270159639787147
"IRQ","Plant growth rate",0.159625927120284
"BZE","Plant growth rate",0.0138261100771072
"BZC","Plant growth rate",0.0162676488643339
"NZN","Plant growth rate",0.0264586160108548
"NZS","Plant growth rate",0.0194942044257113
"LEE","Plant growth rate",0.0675675675675676
"GUY","Plant growth rate",0.0263117164525615
"VEN","Plant growth rate",0.0194461538461538
"NWG","Plant growth rate",0.00509859788558146
"VIE","Plant growth rate",0.0130381519075954
"MYA","Plant growth rate",0.0160342063067878
"WHM","Plant growth rate",0.0901440059846643
"NCB","Plant growth rate",0.0238473767885533
"IND","Plant growth rate",0.0253115264797508
"PER","Plant growth rate",0.0140034154671871
"PAN","Plant growth rate",0.0370851659336265
"ARU","Plant growth rate",0.102112676056338
"VNA","Plant growth rate",0.0785973397823458
"CLM","Plant growth rate",0.0155101709367006
"CUB","Plant growth rate",0.0348722986247544
"COS","Plant growth rate",0.0332389046270066
"ELS","Plant growth rate",0.0511218403862539
"GUA","Plant growth rate",0.0377221617700399
"HON","Plant growth rate",0.0474697716077026
"NIC","Plant growth rate",0.051421760599353
"DOM","Plant growth rate",0.047025927808846
"HAI","Plant growth rate",0.0472079848934448
"CHH","Plant growth rate",0.0263376767396729
"LAO","Plant growth rate",0.0124148978774529
"THA","Plant growth rate",0.00904142448565366
"BZS","Plant growth rate",0.0173607038123167
"AGE","Plant growth rate",0.0290752204089289
"URU","Plant growth rate",0.0358954350370659
"CHT","Plant growth rate",0.0451832907075874
"ASS","Plant growth rate",0.0221663260493633
"EHM","Plant growth rate",0.0301639344262295
"NEP","Plant growth rate",0.047114444082165
"PHI","Plant growth rate",0.00919515361315448
"GAL","Plant growth rate",0.0689075630252101
"ECU","Plant growth rate",0.0163445610160133
"BAN","Plant growth rate",0.0272076372315036
"JAW","Plant growth rate",0.0133828996282528
"LSI","Plant growth rate",0.018651832460733
"ALG","Plant growth rate",0.234184239733629
"TAI","Plant growth rate",0.0429910816373199
"EAI","Plant growth rate",0.288920725883477
"IRN","Plant growth rate",0.0994693323460447
"LBS","Plant growth rate",0.187467899332306
"PAR","Plant growth rate",0.0250047001316037
"KGZ","Plant growth rate",0.111567068479097
"POR","Plant growth rate",0.304054054054054
"BZN","Plant growth rate",0.0161399294347271
"ARI","Plant growth rate",0.18630440809537
"MOL","Plant growth rate",0.0106739859713327
"PUE","Plant growth rate",0.0687631027253669
"ERI","Plant growth rate",0.074295010845987
"ETH","Plant growth rate",0.0334234930448223
"SOM","Plant growth rate",0.0331526936563596
"SUD","Plant growth rate",0.0399305555555556
"SAU","Plant growth rate",0.13030888030888
"YEM","Plant growth rate",0.0889318511358144
"IOW","Plant growth rate",0.347661188369153
"KAN","Plant growth rate",0.295677233429395
"MSO","Plant growth rate",0.293950850661626
"NEB","Plant growth rate",0.36526533425224
"OKL","Plant growth rate",0.265467310223782
"NEV","Plant growth rate",0.229925716307039
"NWM","Plant growth rate",0.212864147678108
"TEX","Plant growth rate",0.161764705882353
"MXC","Plant growth rate",0.0427613941018767
"MXG","Plant growth rate",0.0501275510204082
"MXN","Plant growth rate",0.0741228070175439
"AGS","Plant growth rate",0.0405921680993314
"CLC","Plant growth rate",0.0298606502986065
"CLN","Plant growth rate",0.0348173515981735
"MXI","Plant growth rate",0.0919540229885057
"CHN","Plant growth rate",0.0885228095582911
"KOR","Plant growth rate",0.131373162339693
"NSW","Plant growth rate",0.0122241086587436
"NTA","Plant growth rate",0.0124038700074423
"QLD","Plant growth rate",0.00926490308423747
"SOA","Plant growth rate",0.0107289365730514
"VIC","Plant growth rate",0.0138637733574442
"MXT","Plant growth rate",0.0396437493211687
"CLS","Plant growth rate",0.0384615384615385
"PAK","Plant growth rate",0.106985940246046
"CPP","Plant growth rate",0.0056392181992951
"OFS","Plant growth rate",0.0253067484662577
"NAT","Plant growth rate",0.0165942315290399
"LES","Plant growth rate",0.0268129189518586
"TVL","Plant growth rate",0.0154077414505825
"SWZ","Plant growth rate",0.0213495996950057
"PEI","Plant growth rate",0.423295454545455
"RHO","Plant growth rate",0.370090634441088
"WVA","Plant growth rate",0.322635135135135
"VRG","Plant growth rate",0.272132409545804
"SRL","Plant growth rate",0.0229461756373938
"SUL","Plant growth rate",0.00860400086040009
"CRL","Plant growth rate",0.0250723240115718
"JAM","Plant growth rate",0.0510901399284087
"WAU","Plant growth rate",0.0051933064050779
"MDG","Plant growth rate",0.00472564977684432
"BUL","Plant growth rate",0.292738853503185
"AND","Plant growth rate",0.0199115044247788
"CBD","Plant growth rate",0.014344262295082
"YAK","Plant growth rate",0.243037974683544
"ZAI","Plant growth rate",0.0087933043754635
"TAN","Plant growth rate",0.0116482836820946
"MOZ","Plant growth rate",0.0144981412639405
"MLW","Plant growth rate",0.0122907395634668
"ZAM","Plant growth rate",0.0106934543097861
"KEN","Plant growth rate",0.0185156127412522
"ZIM","Plant growth rate",0.0144349477682811
"BOT","Plant growth rate",0.0222852512155592
"BEN","Plant growth rate",0.0232959447799827
"BKN","Plant growth rate",0.0252242152466368
"GHA","Plant growth rate",0.0168575063613232
"GUI","Plant growth rate",0.0126540126540127
"IVO","Plant growth rate",0.0140546274197826
"LBR","Plant growth rate",0.0117647058823529
"MLI","Plant growth rate",0.0334412081984898
"MTN","Plant growth rate",0.0979228486646884
"NGR","Plant growth rate",0.0587138863000932
"NGA","Plant growth rate",0.0140372931070605
"SEN","Plant growth rate",0.0318592486923443
"TOG","Plant growth rate",0.0197433366238894
"BUR","Plant growth rate",0.0175250357653791
"CMN","Plant growth rate",0.00906387197280838
"CAF","Plant growth rate",0.0122017353579176
"CON","Plant growth rate",0.0106087395807022
"GAB","Plant growth rate",0.00740889066880256
"GGI","Plant growth rate",0.0217842323651452
"DJI","Plant growth rate",0.0973111395646607
"SOC","Plant growth rate",0.0778061224489796
"UGA","Plant growth rate",0.0186125211505922
"ANG","Plant growth rate",0.0122778675282714
"EQG","Plant growth rate",0.013296011196641
"NAM","Plant growth rate",0.0163200842326928
"UZB","Plant growth rate",0.0989640130861505
"BAH","Plant growth rate",0.0962962962962963
"CAY","Plant growth rate",0.120938628158845
"NLA","Plant growth rate",0.0929752066115702
"TRT","Plant growth rate",0.0591439688715953
"TCI","Plant growth rate",0.106699751861042
"WIN","Plant growth rate",0.0673600792471521
"TZK","Plant growth rate",0.0980166051660517
"NWC","Plant growth rate",0.00726392251815981
"TKM","Plant growth rate",0.137438978595569
"CNY","Plant growth rate",0.290540540540541
"AFG","Plant growth rate",0.102717031146455
"AZO","Plant growth rate",0.402214022140221
"CYP","Plant growth rate",0.306047648136836
"BLZ","Plant growth rate",0.0665011037527594
"FRG","Plant growth rate",0.0319127849355798
"SUR","Plant growth rate",0.0348837209302326
"KAZ","Plant growth rate",0.124433534743202
"RWA","Plant growth rate",0.0217649386624456
"CHQ","Plant growth rate",0.103825136612022
"CAB","Plant growth rate",0.00537056928034372
"COM","Plant growth rate",0.0255241567912489
"FIJ","Plant growth rate",0.0134502923976608
"MOR","Plant growth rate",0.210251542477456
"VAN","Plant growth rate",0.0160984848484848
"GAM","Plant growth rate",0.048689138576779
"GNB","Plant growth rate",0.0232067510548523
"SIE","Plant growth rate",0.0139254798645088
"CHA","Plant growth rate",0.0530479292694276
"CPV","Plant growth rate",0.0316666666666667
"SIC","Plant growth rate",0.323541087733227
"BAL","Plant growth rate",0.359809911744739
"SAR","Plant growth rate",0.346938775510204
"TUN","Plant growth rate",0.273522064945878
"KRI","Plant growth rate",0.307810894141829
"ALB","Plant growth rate",0.344395924308588
"TUE","Plant growth rate",0.355042966983265
"KRY","Plant growth rate",0.315343443354148
"RUS","Plant growth rate",0.304428904428904
"LBY","Plant growth rate",0.266120218579235
"PAL","Plant growth rate",0.199494036863029
"OMA","Plant growth rate",0.117467581998474
"WSA","Plant growth rate",0.21025641025641
"FLA","Plant growth rate",0.170301475304682
"KTY","Plant growth rate",0.294425917103383
"LOU","Plant growth rate",0.241125541125541
"MRY","Plant growth rate",0.3125
"MSI","Plant growth rate",0.255609326880774
"DEL","Plant growth rate",0.342348284960422
"WDC","Plant growth rate",0.354205607476635
"NFK","Plant growth rate",0.0393258426966292
"OGA","Plant growth rate",0.0840579710144927
"SWC","Plant growth rate",0.178707224334601
"RUW","Plant growth rate",0.38371335504886
"CPI","Plant growth rate",0.0909090909090909
"EGY","Plant growth rate",0.22140221402214
"SIN","Plant growth rate",0.212918660287081
"KUW","Plant growth rate",0.214876033057851
"MDR","Plant growth rate",0.408521303258145
"SEL","Plant growth rate",0.554347826086957
"CVI","Plant growth rate",0.182692307692308
"NNS","Plant growth rate",0.0528148578061521
"HAW","Plant growth rate",0.0304026294165982
"MAU","Plant growth rate",0.0326659641728135
