"","area","trait","completeness"
"56","TUR","Plant growth form",0.364075228804184
"57","CHC","Plant growth form",0.292637511952091
"58","CHI","Plant growth form",0.671294223018361
"59","CHM","Plant growth form",0.662096774193548
"60","CHX","Plant growth form",0.491309385863268
"61","MON","Plant growth form",0.572687224669604
"62","JAP","Plant growth form",0.4071980403241
"63","ASK","Plant growth form",0.961483594864479
"64","ALU","Plant growth form",0.964864864864865
"65","GNL","Plant growth form",0.946462715105163
"66","NWT","Plant growth form",0.964285714285714
"67","NUN","Plant growth form",0.956310679611651
"68","YUK","Plant growth form",0.963963963963964
"69","ABT","Plant growth form",0.973088685015291
"70","BRC","Plant growth form",0.974645466265578
"71","MAN","Plant growth form",0.976951672862454
"72","SAS","Plant growth form",0.971071149335418
"73","LAB","Plant growth form",0.976551724137931
"74","NBR","Plant growth form",0.977856510186005
"75","NFL","Plant growth form",0.969154228855721
"76","NSC","Plant growth form",0.974842767295597
"77","ONT","Plant growth form",0.975832193342453
"78","QUE","Plant growth form",0.963701431492842
"79","COL","Plant growth form",0.974247370330069
"80","IDA","Plant growth form",0.972187629721876
"81","MNT","Plant growth form",0.976265114196149
"82","ORE","Plant growth form",0.970687022900763
"83","WAS","Plant growth form",0.970457304734925
"84","WYO","Plant growth form",0.981562774363477
"85","ILL","Plant growth form",0.983021332172399
"86","MIN","Plant growth form",0.980728051391863
"87","NDA","Plant growth form",0.982238010657194
"88","SDA","Plant growth form",0.986082115518441
"89","WIS","Plant growth form",0.983184445612191
"90","CNT","Plant growth form",0.981987216734457
"91","INI","Plant growth form",0.984962406015038
"92","MAI","Plant growth form",0.974374618669921
"93","MAS","Plant growth form",0.975027144408252
"94","MIC","Plant growth form",0.979427997992975
"95","NWH","Plant growth form",0.979712041884817
"96","NWJ","Plant growth form",0.979716024340771
"97","NWY","Plant growth form",0.974519632414369
"98","OHI","Plant growth form",0.980885311871227
"99","PEN","Plant growth form",0.97837091578463
"100","VER","Plant growth form",0.978155339805825
"101","UTA","Plant growth form",0.969604863221885
"102","CAL","Plant growth form",0.961228070175439
"103","CHS","Plant growth form",0.394187183361479
"104","ALA","Plant growth form",0.982832618025751
"105","ARK","Plant growth form",0.980220791168353
"106","GEO","Plant growth form",0.981660553517839
"107","NCA","Plant growth form",0.976519337016575
"108","SCA","Plant growth form",0.983505945531262
"109","TEN","Plant growth form",0.978305362259517
"110","IRQ","Plant growth form",0.507900677200903
"111","BZE","Plant growth form",0.648320482141274
"112","BZC","Plant growth form",0.857581338244322
"113","NZN","Plant growth form",0.515603799185889
"114","NZS","Plant growth form",0.416754478398314
"115","LEE","Plant growth form",0.866312741312741
"116","GUY","Plant growth form",0.734406438631791
"117","VEN","Plant growth form",0.634830769230769
"118","NWG","Plant growth form",0.172452575541726
"119","VIE","Plant growth form",0.324728736436822
"120","MYA","Plant growth form",0.371352218065206
"121","WHM","Plant growth form",0.447540677015149
"122","NCB","Plant growth form",0.608903020667727
"123","IND","Plant growth form",0.368899273104881
"124","PER","Plant growth form",0.631080751402781
"125","PAN","Plant growth form",0.844462215113954
"126","ARU","Plant growth form",0.922535211267606
"127","VNA","Plant growth form",0.902055622732769
"128","CLM","Plant growth form",0.632384587275163
"129","CUB","Plant growth form",0.475933202357564
"130","COS","Plant growth form",0.832672332389046
"131","ELS","Plant growth form",0.929565464356717
"132","GUA","Plant growth form",0.813202756619514
"133","HON","Plant growth form",0.912374981340499
"134","NIC","Plant growth form",0.943299846756343
"135","DOM","Plant growth form",0.622521606507372
"136","HAI","Plant growth form",0.581872133800917
"137","CHH","Plant growth form",0.48073191017466
"138","LAO","Plant growth form",0.399078894673608
"139","THA","Plant growth form",0.32586031921764
"140","BZS","Plant growth form",0.614310850439883
"141","AGE","Plant growth form",0.744138060401426
"142","URU","Plant growth form",0.714787358564183
"143","CHT","Plant growth form",0.328928672918443
"144","ASS","Plant growth form",0.39129067756642
"145","EHM","Plant growth form",0.34727868852459
"146","NEP","Plant growth form",0.39827192696446
"147","PHI","Plant growth form",0.275421895283427
"148","GAL","Plant growth form",0.726050420168067
"149","ECU","Plant growth form",0.691827719491993
"150","BAN","Plant growth form",0.51909307875895
"151","JAW","Plant growth form",0.431970260223048
"152","LSI","Plant growth form",0.525523560209424
"153","ALG","Plant growth form",0.642064372918979
"154","TAI","Plant growth form",0.451406357191859
"155","EAI","Plant growth form",0.681948424068768
"156","IRN","Plant growth form",0.341478464766136
"157","LBS","Plant growth form",0.571391884951207
"158","PAR","Plant growth form",0.813498777965783
"159","KGZ","Plant growth form",0.38394460117979
"160","POR","Plant growth form",0.742492492492492
"161","BZN","Plant growth form",0.716462728023422
"162","ARI","Plant growth form",0.968672026614915
"163","MOL","Plant growth form",0.402866727660872
"164","PUE","Plant growth form",0.966457023060797
"165","ERI","Plant growth form",0.704989154013015
"166","ETH","Plant growth form",0.581723338485317
"167","SOM","Plant growth form",0.464456487089576
"168","SUD","Plant growth form",0.734623015873016
"169","SAU","Plant growth form",0.66023166023166
"170","YEM","Plant growth form",0.60560657322378
"171","IOW","Plant growth form",0.984197218710493
"172","KAN","Plant growth form",0.985014409221902
"173","MSO","Plant growth form",0.98109640831758
"174","NEB","Plant growth form",0.987594762232943
"175","OKL","Plant growth form",0.983326020184291
"176","NEV","Plant growth form",0.976299964626813
"177","NWM","Plant growth form",0.968849149120277
"178","TEX","Plant growth form",0.965126050420168
"179","MXC","Plant growth form",0.720375335120643
"180","MXG","Plant growth form",0.807270408163265
"181","MXN","Plant growth form",0.775584795321637
"182","AGS","Plant growth form",0.475167144221585
"183","CLC","Plant growth form",0.469807564698076
"184","CLN","Plant growth form",0.514269406392694
"185","MXI","Plant growth form",0.781609195402299
"186","CHN","Plant growth form",0.520999275887038
"187","KOR","Plant growth form",0.581482639974977
"188","NSW","Plant growth form",0.673344651952462
"189","NTA","Plant growth form",0.475564376085339
"190","QLD","Plant growth form",0.529684261855419
"191","SOA","Plant growth form",0.604607131587252
"192","VIC","Plant growth form",0.66998191681736
"193","MXT","Plant growth form",0.8290431193657
"194","CLS","Plant growth form",0.531930333817126
"195","PAK","Plant growth form",0.497144112478032
"196","CPP","Plant growth form",0.288625440563922
"197","OFS","Plant growth form",0.56058282208589
"198","NAT","Plant growth form",0.5622283682339
"199","LES","Plant growth form",0.539305301645338
"200","TVL","Plant growth form",0.602780909432544
"201","SWZ","Plant growth form",0.697293175752955
"202","PEI","Plant growth form",0.982954545454545
"203","RHO","Plant growth form",0.985649546827795
"204","WVA","Plant growth form",0.98536036036036
"205","VRG","Plant growth form",0.978444957659738
"206","SRL","Plant growth form",0.457223796033994
"207","SUL","Plant growth form",0.371907937190794
"208","CRL","Plant growth form",0.467695274831244
"209","JAM","Plant growth form",0.692157500813537
"210","WAU","Plant growth form",0.318138103481439
"211","MDG","Plant growth form",0.210028878970859
"212","BUL","Plant growth form",0.716942675159236
"213","AND","Plant growth form",0.564159292035398
"214","CBD","Plant growth form",0.449538934426229
"215","YAK","Plant growth form",0.698101265822785
"216","ZAI","Plant growth form",0.53543807606738
"217","TAN","Plant growth form",0.592310071126688
"218","MOZ","Plant growth form",0.796840148698885
"219","MLW","Plant growth form",0.824327187963552
"220","ZAM","Plant growth form",0.785158781594297
"221","KEN","Plant growth form",0.601129766201161
"222","ZIM","Plant growth form",0.798100664767331
"223","BOT","Plant growth form",0.781199351701783
"224","BEN","Plant growth form",0.76962899050906
"225","BKN","Plant growth form",0.82567264573991
"226","GHA","Plant growth form",0.668256997455471
"227","GUI","Plant growth form",0.653346653346653
"228","IVO","Plant growth form",0.608326703792098
"229","LBR","Plant growth form",0.544852941176471
"230","MLI","Plant growth form",0.804746494066882
"231","MTN","Plant growth form",0.824925816023739
"232","NGR","Plant growth form",0.854613233923579
"233","NGA","Plant growth form",0.617850408548083
"234","SEN","Plant growth form",0.783166904422254
"235","TOG","Plant growth form",0.770977295162882
"236","BUR","Plant growth form",0.742131616595136
"237","CMN","Plant growth form",0.484209035547373
"238","CAF","Plant growth form",0.652114967462039
"239","CON","Plant growth form",0.54710785551907
"240","GAB","Plant growth form",0.433920704845815
"241","GGI","Plant growth form",0.567946058091286
"242","DJI","Plant growth form",0.701664532650448
"243","SOC","Plant growth form",0.487244897959184
"244","UGA","Plant growth form",0.6751269035533
"245","ANG","Plant growth form",0.607269789983845
"246","EQG","Plant growth form",0.498950314905528
"247","NAM","Plant growth form",0.600947617794156
"248","UZB","Plant growth form",0.353598691384951
"249","BAH","Plant growth form",0.833333333333333
"250","CAY","Plant growth form",0.889891696750903
"251","NLA","Plant growth form",0.913223140495868
"252","TRT","Plant growth form",0.859533073929961
"253","TCI","Plant growth form",0.856079404466501
"254","WIN","Plant growth form",0.832590391282813
"255","TZK","Plant growth form",0.346863468634686
"256","NWC","Plant growth form",0.169188861985472
"257","TKM","Plant growth form",0.461885092001502
"258","CNY","Plant growth form",0.64004914004914
"259","AFG","Plant growth form",0.379721669980119
"260","AZO","Plant growth form",0.850553505535055
"261","CYP","Plant growth form",0.746487477092242
"262","BLZ","Plant growth form",0.925772626931567
"263","FRG","Plant growth form",0.774826560951437
"264","SUR","Plant growth form",0.807152259763054
"265","KAZ","Plant growth form",0.439954682779456
"266","RWA","Plant growth form",0.71586861891571
"267","CHQ","Plant growth form",0.484972677595628
"268","CAB","Plant growth form",0.509129967776584
"269","COM","Plant growth form",0.556061987237922
"270","FIJ","Plant growth form",0.286549707602339
"271","MOR","Plant growth form",0.587327954437589
"272","VAN","Plant growth form",0.348484848484849
"273","GAM","Plant growth form",0.896379525593009
"274","GNB","Plant growth form",0.805907172995781
"275","SIE","Plant growth form",0.628904779826872
"276","CHA","Plant growth form",0.782224290367613
"277","CPV","Plant growth form",0.865
"278","SIC","Plant growth form",0.732036522429536
"279","BAL","Plant growth form",0.779361846571623
"280","SAR","Plant growth form",0.752672497570457
"281","TUN","Plant growth form",0.700666111573689
"282","KRI","Plant growth form",0.694244604316547
"283","ALB","Plant growth form",0.745851528384279
"284","TUE","Plant growth form",0.807779285391226
"285","KRY","Plant growth form",0.750223015165031
"286","RUS","Plant growth form",0.767365967365967
"287","LBY","Plant growth form",0.706010928961749
"288","PAL","Plant growth form",0.664257318395374
"289","OMA","Plant growth form",0.62929061784897
"290","WSA","Plant growth form",0.771794871794872
"291","FLA","Plant growth form",0.969211032713278
"292","KTY","Plant growth form",0.987136731777037
"293","LOU","Plant growth form",0.980952380952381
"294","MRY","Plant growth form",0.981150793650794
"295","MSI","Plant growth form",0.98240211174659
"296","DEL","Plant growth form",0.983509234828496
"297","WDC","Plant growth form",0.988785046728972
"298","NFK","Plant growth form",0.606741573033708
"299","OGA","Plant growth form",0.579710144927536
"300","SWC","Plant growth form",0.958174904942966
"301","RUW","Plant growth form",0.857980456026059
"302","CPI","Plant growth form",0.808612440191388
"303","EGY","Plant growth form",0.736777367773678
"304","SIN","Plant growth form",0.700159489633174
"305","KUW","Plant growth form",0.787878787878788
"306","MDR","Plant growth form",0.817042606516291
"307","SEL","Plant growth form",0.826086956521739
"308","CVI","Plant growth form",0.85
"309","NNS","Plant growth form",0.552524666279745
"310","HAW","Plant growth form",0.944124897288414
"311","MAU","Plant growth form",0.49736564805058
"312","SCS","Plant growth form",0.894230769230769
"313","SCZ","Plant growth form",0.461224489795918
"314","TAS","Plant growth form",0.615938018815717
"315","ATP","Plant growth form",0.578947368421053
"316","MAQ","Plant growth form",0.795918367346939
"317","MRN","Plant growth form",0.744136460554371
"318","KER","Plant growth form",0.7109375
"319","SEY","Plant growth form",0.679611650485437
"320","REU","Plant growth form",0.453798767967146
"321","ROD","Plant growth form",0.691099476439791
"322","MCI","Plant growth form",0.871428571428571
"323","GST","Plant growth form",0.735457063711911
"324","LDV","Plant growth form",0.835164835164835
"325","XMS","Plant growth form",0.7981220657277
"326","SVA","Plant growth form",0.88265306122449
"327","WAK","Plant growth form",0.909090909090909
"328","ALD","Plant growth form",0.878787878787879
"329","CGS","Plant growth form",0.942307692307692
"330","MDV","Plant growth form",0.893081761006289
"331","CKI","Plant growth form",0.946666666666667
"332","GIL","Plant growth form",0.91578947368421
"333","NRU","Plant growth form",0.912280701754386
"334","NUE","Plant growth form",0.607305936073059
"335","PHX","Plant growth form",0.931034482758621
"336","SAM","Plant growth form",0.354122621564482
"337","TOK","Plant growth form",0.852459016393443
"338","TON","Plant growth form",0.55278310940499
"339","TUV","Plant growth form",0.903846153846154
"340","WAL","Plant growth form",0.609120521172638
"341","COO","Plant growth form",0.606164383561644
"342","LIN","Plant growth form",0.9
"343","PIT","Plant growth form",0.686440677966102
"344","SCI","Plant growth form",0.431147540983607
"345","TUA","Plant growth form",0.731543624161074
"346","TUB","Plant growth form",0.546916890080429
"347","MCS","Plant growth form",1
"348","MRS","Plant growth form",0.902439024390244
"349","DSV","Plant growth form",0.571428571428571
"350","CTM","Plant growth form",0.629943502824859
"351","JNF","Plant growth form",0.464435146443515
"352","EAS","Plant growth form",0.75
"353","MRQ","Plant growth form",0.408839779005525
"354","FAL","Plant growth form",0.622950819672131
"355","KZN","Plant growth form",0.648936170212766
"356","STH","Plant growth form",0.536585365853659
"357","BER","Plant growth form",0.948979591836735
"358","TDC","Plant growth form",0.530612244897959
"359","HMD","Plant growth form",0.727272727272727
"360","KEG","Plant growth form",0.78125
"361","MPE","Plant growth form",0.666666666666667
"362","CRZ","Plant growth form",0.863636363636364
"363","SGE","Plant growth form",0.869565217391304
"364","ASC","Plant growth form",0.838709677419355
"365","ASP","Plant growth form",0.566666666666667
"366","SSA","Plant growth form",1
"367","HBI","Plant growth form",1
"368","ANT","Plant growth form",1
"369","BOL","Plant growth rate",0.0193478554999323
"370","AGW","Plant growth rate",0.0293019783501306
"371","BZL","Plant growth rate",0.00887311446317657
"372","MLY","Plant growth rate",0.00691139814185361
"373","SUM","Plant growth rate",0.00658779241731648
"374","BIS","Plant growth rate",0.0121065375302663
"375","SOL","Plant growth rate",0.0124888492417484
"376","BOR","Plant growth rate",0.00374213301581902
"377","MXE","Plant growth rate",0.0530641415043773
"378","MXS","Plant growth rate",0.0302097501610709
"379","DEN","Plant growth rate",0.301331853496115
"380","FIN","Plant growth rate",0.22311942201445
"381","FOR","Plant growth rate",0.43854748603352
"382","GRB","Plant growth rate",0.212171599600931
"383","ICE","Plant growth rate",0.270992366412214
"384","IRE","Plant growth rate",0.309078309078309
"385","NOR","Plant growth rate",0.286611889801837
"386","SWE","Plant growth rate",0.180204410973642
"387","AUT","Plant growth rate",0.300342195314556
"388","BGM","Plant growth rate",0.350127226463104
"389","CZE","Plant growth rate",0.274331403363661
"390","GER","Plant growth rate",0.254584424863063
"391","HUN","Plant growth rate",0.336223886480095
"392","NET","Plant growth rate",0.332972972972973
"393","POL","Plant growth rate",0.310608695652174
"394","SWI","Plant growth rate",0.338791306936588
"395","COR","Plant growth rate",0.37586048646168
"396","FRA","Plant growth rate",0.249169435215947
"397","SPA","Plant growth rate",0.219844357976654
"398","GRC","Plant growth rate",0.23182933736077
"399","ITA","Plant growth rate",0.274460612142499
"400","ROM","Plant growth rate",0.305414551607445
"401","YUG","Plant growth rate",0.267639453269302
"402","BLT","Plant growth rate",0.366359447004608
"403","BLR","Plant growth rate",0.432724814063556
"404","RUC","Plant growth rate",0.332200097134531
"405","RUE","Plant growth rate",0.283070866141732
"406","RUN","Plant growth rate",0.297939778129952
"407","UKR","Plant growth rate",0.295580110497238
"408","ALT","Plant growth rate",0.214504988488104
"409","BRY","Plant growth rate",0.215035931453842
"410","CTA","Plant growth rate",0.211249182472204
"411","IRK","Plant growth rate",0.237955346650999
"412","KRA","Plant growth rate",0.22778297474275
"413","TVA","Plant growth rate",0.19917501473188
"414","WSB","Plant growth rate",0.264510412051396
"415","AMU","Plant growth rate",0.22585128561501
"416","KAM","Plant growth rate",0.263572679509632
"417","KHA","Plant growth rate",0.215475550779151
"418","KUR","Plant growth rate",0.223300970873786
"419","MAG","Plant growth rate",0.2424
"420","PRM","Plant growth rate",0.190380761523046
"421","SAK","Plant growth rate",0.240829346092504
"422","NCS","Plant growth rate",0.220810942843185
"423","TCS","Plant growth rate",0.16770851937846
"424","TUR","Plant growth rate",0.119279895403802
"425","CHC","Plant growth rate",0.0208343817623673
"426","CHI","Plant growth rate",0.158531124048365
"427","CHM","Plant growth rate",0.172983870967742
"428","CHX","Plant growth rate",0.130938586326767
"429","MON","Plant growth rate",0.14164689935615
"430","JAP","Plant growth rate",0.0772564537403429
"431","ASK","Plant growth rate",0.295292439372325
"432","ALU","Plant growth rate",0.305405405405405
"433","GNL","Plant growth rate",0.344168260038241
"434","NWT","Plant growth rate",0.345559845559846
"435","NUN","Plant growth rate",0.346278317152104
"436","YUK","Plant growth rate",0.315315315315315
"437","ABT","Plant growth rate",0.352905198776758
"438","BRC","Plant growth rate",0.312419424151268
"439","MAN","Plant growth rate",0.37546468401487
"440","SAS","Plant growth rate",0.369820172009382
"441","LAB","Plant growth rate",0.350344827586207
"442","NBR","Plant growth rate",0.362267493356953
"443","NFL","Plant growth rate",0.348258706467662
"444","NSC","Plant growth rate",0.359389038634322
"445","ONT","Plant growth rate",0.322845417236662
"446","QUE","Plant growth rate",0.320552147239264
"447","COL","Plant growth rate",0.270221254987305
"448","IDA","Plant growth rate",0.292237442922374
"449","MNT","Plant growth rate",0.32154052843708
"450","ORE","Plant growth rate",0.246412213740458
"451","WAS","Plant growth rate",0.296641036017807
"452","WYO","Plant growth rate",0.308165057067603
"453","ILL","Plant growth rate",0.313452329124946
"454","MIN","Plant growth rate",0.336723768736617
"455","NDA","Plant growth rate",0.398756660746004
"456","SDA","Plant growth rate",0.386221294363257
"457","WIS","Plant growth rate",0.32790331056227
"458","CNT","Plant growth rate",0.342823939570017
"459","INI","Plant growth rate",0.328320802005013
"460","MAI","Plant growth rate",0.356314826113484
"461","MAS","Plant growth rate",0.332790445168295
"462","MIC","Plant growth rate",0.331660812844957
"463","NWH","Plant growth rate",0.361256544502618
"464","NWJ","Plant growth rate",0.322008113590264
"465","NWY","Plant growth rate",0.307017543859649
"466","OHI","Plant growth rate",0.325955734406439
"467","PEN","Plant growth rate",0.319834330418776
"468","VER","Plant growth rate",0.338592233009709
"469","UTA","Plant growth rate",0.240459304289092
"470","CAL","Plant growth rate",0.15280701754386
"471","CHS","Plant growth rate",0.0312861079015199
"472","ALA","Plant growth rate",0.22152525586002
"473","ARK","Plant growth rate",0.268629254829807
"474","GEO","Plant growth rate",0.217739246415472
"475","NCA","Plant growth rate",0.24274861878453
"476","SCA","Plant growth rate",0.242807825086306
"477","TEN","Plant growth rate",0.270159639787147
"478","IRQ","Plant growth rate",0.159625927120284
"479","BZE","Plant growth rate",0.0138261100771072
"480","BZC","Plant growth rate",0.0162676488643339
"481","NZN","Plant growth rate",0.0264586160108548
"482","NZS","Plant growth rate",0.0194942044257113
"483","LEE","Plant growth rate",0.0675675675675676
"484","GUY","Plant growth rate",0.0263117164525615
"485","VEN","Plant growth rate",0.0194461538461538
"486","NWG","Plant growth rate",0.00509859788558146
"487","VIE","Plant growth rate",0.0130381519075954
"488","MYA","Plant growth rate",0.0160342063067878
"489","WHM","Plant growth rate",0.0901440059846643
"490","NCB","Plant growth rate",0.0238473767885533
"491","IND","Plant growth rate",0.0253115264797508
"492","PER","Plant growth rate",0.0140034154671871
"493","PAN","Plant growth rate",0.0370851659336265
"494","ARU","Plant growth rate",0.102112676056338
"495","VNA","Plant growth rate",0.0785973397823458
"496","CLM","Plant growth rate",0.0155101709367006
"497","CUB","Plant growth rate",0.0348722986247544
"498","COS","Plant growth rate",0.0332389046270066
"499","ELS","Plant growth rate",0.0511218403862539
"500","GUA","Plant growth rate",0.0377221617700399
"501","HON","Plant growth rate",0.0474697716077026
"502","NIC","Plant growth rate",0.051421760599353
"503","DOM","Plant growth rate",0.047025927808846
"504","HAI","Plant growth rate",0.0472079848934448
"505","CHH","Plant growth rate",0.0263376767396729
"506","LAO","Plant growth rate",0.0124148978774529
"507","THA","Plant growth rate",0.00904142448565366
"508","BZS","Plant growth rate",0.0173607038123167
"509","AGE","Plant growth rate",0.0290752204089289
"510","URU","Plant growth rate",0.0358954350370659
"511","CHT","Plant growth rate",0.0451832907075874
"512","ASS","Plant growth rate",0.0221663260493633
"513","EHM","Plant growth rate",0.0301639344262295
"514","NEP","Plant growth rate",0.047114444082165
"515","PHI","Plant growth rate",0.00919515361315448
"516","GAL","Plant growth rate",0.0689075630252101
"517","ECU","Plant growth rate",0.0163445610160133
"518","BAN","Plant growth rate",0.0272076372315036
"519","JAW","Plant growth rate",0.0133828996282528
"520","LSI","Plant growth rate",0.018651832460733
"521","ALG","Plant growth rate",0.234184239733629
"522","TAI","Plant growth rate",0.0429910816373199
"523","EAI","Plant growth rate",0.288920725883477
"524","IRN","Plant growth rate",0.0994693323460447
"525","LBS","Plant growth rate",0.187467899332306
"526","PAR","Plant growth rate",0.0250047001316037
"527","KGZ","Plant growth rate",0.111567068479097
"528","POR","Plant growth rate",0.304054054054054
"529","BZN","Plant growth rate",0.0161399294347271
"530","ARI","Plant growth rate",0.18630440809537
"531","MOL","Plant growth rate",0.0106739859713327
"532","PUE","Plant growth rate",0.0687631027253669
"533","ERI","Plant growth rate",0.074295010845987
"534","ETH","Plant growth rate",0.0334234930448223
"535","SOM","Plant growth rate",0.0331526936563596
"536","SUD","Plant growth rate",0.0399305555555556
"537","SAU","Plant growth rate",0.13030888030888
"538","YEM","Plant growth rate",0.0889318511358144
"539","IOW","Plant growth rate",0.347661188369153
"540","KAN","Plant growth rate",0.295677233429395
"541","MSO","Plant growth rate",0.293950850661626
"542","NEB","Plant growth rate",0.36526533425224
"543","OKL","Plant growth rate",0.265467310223782
"544","NEV","Plant growth rate",0.229925716307039
"545","NWM","Plant growth rate",0.212864147678108
"546","TEX","Plant growth rate",0.161764705882353
"547","MXC","Plant growth rate",0.0427613941018767
"548","MXG","Plant growth rate",0.0501275510204082
"549","MXN","Plant growth rate",0.0741228070175439
"550","AGS","Plant growth rate",0.0405921680993314
"551","CLC","Plant growth rate",0.0298606502986065
"552","CLN","Plant growth rate",0.0348173515981735
"553","MXI","Plant growth rate",0.0919540229885057
"554","CHN","Plant growth rate",0.0885228095582911
"555","KOR","Plant growth rate",0.131373162339693
"556","NSW","Plant growth rate",0.0122241086587436
"557","NTA","Plant growth rate",0.0124038700074423
"558","QLD","Plant growth rate",0.00926490308423747
"559","SOA","Plant growth rate",0.0107289365730514
"560","VIC","Plant growth rate",0.0138637733574442
"561","MXT","Plant growth rate",0.0396437493211687
"562","CLS","Plant growth rate",0.0384615384615385
"563","PAK","Plant growth rate",0.106985940246046
"564","CPP","Plant growth rate",0.0056392181992951
"565","OFS","Plant growth rate",0.0253067484662577
"566","NAT","Plant growth rate",0.0165942315290399
"567","LES","Plant growth rate",0.0268129189518586
"568","TVL","Plant growth rate",0.0154077414505825
"569","SWZ","Plant growth rate",0.0213495996950057
"570","PEI","Plant growth rate",0.423295454545455
"571","RHO","Plant growth rate",0.370090634441088
"572","WVA","Plant growth rate",0.322635135135135
"573","VRG","Plant growth rate",0.272132409545804
"574","SRL","Plant growth rate",0.0229461756373938
"575","SUL","Plant growth rate",0.00860400086040009
"576","CRL","Plant growth rate",0.0250723240115718
"577","JAM","Plant growth rate",0.0510901399284087
"578","WAU","Plant growth rate",0.0051933064050779
"579","MDG","Plant growth rate",0.00472564977684432
"580","BUL","Plant growth rate",0.292738853503185
"581","AND","Plant growth rate",0.0199115044247788
"582","CBD","Plant growth rate",0.014344262295082
"583","YAK","Plant growth rate",0.243037974683544
"584","ZAI","Plant growth rate",0.0087933043754635
"585","TAN","Plant growth rate",0.0116482836820946
"586","MOZ","Plant growth rate",0.0144981412639405
"587","MLW","Plant growth rate",0.0122907395634668
"588","ZAM","Plant growth rate",0.0106934543097861
"589","KEN","Plant growth rate",0.0185156127412522
"590","ZIM","Plant growth rate",0.0144349477682811
"591","BOT","Plant growth rate",0.0222852512155592
"592","BEN","Plant growth rate",0.0232959447799827
"593","BKN","Plant growth rate",0.0252242152466368
"594","GHA","Plant growth rate",0.0168575063613232
"595","GUI","Plant growth rate",0.0126540126540127
"596","IVO","Plant growth rate",0.0140546274197826
"597","LBR","Plant growth rate",0.0117647058823529
"598","MLI","Plant growth rate",0.0334412081984898
"599","MTN","Plant growth rate",0.0979228486646884
"600","NGR","Plant growth rate",0.0587138863000932
"601","NGA","Plant growth rate",0.0140372931070605
"602","SEN","Plant growth rate",0.0318592486923443
"603","TOG","Plant growth rate",0.0197433366238894
"604","BUR","Plant growth rate",0.0175250357653791
"605","CMN","Plant growth rate",0.00906387197280838
"606","CAF","Plant growth rate",0.0122017353579176
"607","CON","Plant growth rate",0.0106087395807022
"608","GAB","Plant growth rate",0.00740889066880256
"609","GGI","Plant growth rate",0.0217842323651452
"610","DJI","Plant growth rate",0.0973111395646607
"611","SOC","Plant growth rate",0.0778061224489796
"612","UGA","Plant growth rate",0.0186125211505922
"613","ANG","Plant growth rate",0.0122778675282714
"614","EQG","Plant growth rate",0.013296011196641
"615","NAM","Plant growth rate",0.0163200842326928
"616","UZB","Plant growth rate",0.0989640130861505
"617","BAH","Plant growth rate",0.0962962962962963
"618","CAY","Plant growth rate",0.120938628158845
"619","NLA","Plant growth rate",0.0929752066115702
"620","TRT","Plant growth rate",0.0591439688715953
"621","TCI","Plant growth rate",0.106699751861042
